clip_id,hand_side,n_frames,angle_diff_deg,svd_f0_mm,wq_f0_mm,delta_f0_mm,svd_avg10_mm,wq_avg10_mm,delta_avg10_mm
hocap__subject_7__20231023_162803__seg02,left,256,84.2,21.2,46.8,25.6,16.3,21.7,5.4
hocap__subject_7__20231023_162803__seg03,left,279,83.6,19.2,48.9,29.7,16.5,22.2,5.7
hocap__subject_7__20231023_163653__seg00,left,271,48.2,24.7,36.3,11.6,15.7,17.8,2.0
hocap__subject_7__20231023_163653__seg00,right,271,1.2,23.0,67.1,44.1,17.6,38.1,20.5
hocap__subject_7__20231023_163653__seg01,left,356,46.0,38.6,60.4,21.7,17.6,26.7,9.1
hocap__subject_7__20231023_163653__seg01,right,356,35.4,39.8,47.0,7.2,20.4,24.0,3.5
hocap__subject_8__20231024_180111__seg00,left,293,2.8,35.4,33.8,-1.6,19.8,19.4,-0.4
hocap__subject_8__20231024_180111__seg00,right,293,1.6,29.1,62.4,33.3,17.5,46.6,29.1
hocap__subject_8__20231024_180111__seg01,left,853,9.9,33.7,31.2,-2.5,23.0,23.3,0.3
hocap__subject_8__20231024_180111__seg01,right,853,27.8,20.5,54.5,34.1,16.3,27.3,10.9
hocap__subject_8__20231024_180651__seg00,right,246,9.2,29.2,61.5,32.3,17.9,37.9,20.0
hocap__subject_8__20231024_180651__seg01,right,505,7.0,26.1,63.0,36.9,16.4,35.7,19.3
hocap__subject_8__20231024_180651__seg02,right,294,13.0,17.4,32.9,15.5,14.8,20.2,5.5
hocap__subject_8__20231024_180733__seg00,left,309,0.5,31.5,28.2,-3.3,19.5,18.5,-0.9
hocap__subject_8__20231024_180733__seg00,right,309,0.0,29.3,58.6,29.3,17.9,33.6,15.7
hocap__subject_8__20231024_180733__seg01,left,574,18.9,27.8,53.6,25.8,16.6,40.9,24.3
hocap__subject_8__20231024_180733__seg01,right,574,83.4,19.9,52.3,32.4,16.9,25.5,8.5
hocap__subject_8__20231024_180733__seg02,left,298,11.2,31.8,25.8,-6.0,18.5,17.9,-0.6
hocap__subject_8__20231024_180733__seg02,right,298,15.9,27.4,41.0,13.6,20.1,23.5,3.4
hocap__subject_8__20231024_181413__seg00,left,279,0.2,38.2,33.7,-4.5,21.5,20.2,-1.3
hocap__subject_8__20231024_181413__seg00,right,279,5.0,30.6,59.2,28.6,19.1,32.7,13.6
hocap__subject_8__20231024_181413__seg01,left,831,34.4,26.9,35.3,8.4,18.1,17.9,-0.2
hocap__subject_8__20231024_181413__seg01,right,831,2.6,28.2,63.3,35.1,19.5,31.6,12.1
hocap__subject_9__20231027_123403__seg00,right,197,6.0,30.3,60.0,29.7,18.7,42.3,23.6
hocap__subject_9__20231027_123403__seg01,right,219,16.2,27.2,62.9,35.7,18.9,40.3,21.4
hocap__subject_9__20231027_123403__seg02,right,219,13.0,29.0,60.1,31.1,17.4,39.7,22.4
hocap__subject_9__20231027_123403__seg03,right,227,9.0,30.0,67.0,37.1,19.3,45.5,26.2
hocap__subject_9__20231027_123725__seg00,right,234,9.3,34.5,69.2,34.7,20.4,46.8,26.4
hocap__subject_9__20231027_123725__seg01,right,286,8.8,31.3,59.9,28.5,17.1,44.6,27.5
hocap__subject_9__20231027_123725__seg02,right,268,4.9,30.2,64.4,34.2,17.9,45.0,27.1
hocap__subject_9__20231027_123725__seg03,right,273,2.2,29.8,61.0,31.2,18.5,45.7,27.3
hocap__subject_9__20231027_123814__seg00,left,316,8.7,39.5,39.7,0.1,20.2,20.1,-0.1
hocap__subject_9__20231027_123814__seg00,right,316,3.7,34.2,66.6,32.4,18.6,47.9,29.3
hocap__subject_9__20231027_123814__seg01,left,345,11.3,33.8,35.6,1.8,19.1,19.3,0.2
hocap__subject_9__20231027_123814__seg01,right,345,2.7,29.5,61.0,31.5,18.8,47.8,29.1
hocap__subject_9__20231027_123814__seg03,left,302,10.3,38.9,38.9,-0.0,20.5,20.4,-0.1
hocap__subject_9__20231027_123814__seg03,right,302,9.8,33.4,64.1,30.7,18.5,44.5,26.0
hocap__subject_9__20231027_124057__seg00,right,272,5.1,37.8,73.1,35.3,20.5,56.4,35.9
hocap__subject_9__20231027_124057__seg01,right,253,5.0,32.2,63.9,31.7,19.7,41.5,21.8
hocap__subject_9__20231027_124057__seg02,right,274,5.9,31.8,62.3,30.5,18.3,41.7,23.4
hocap__subject_9__20231027_124057__seg03,right,244,6.2,32.1,60.7,28.6,18.7,40.5,21.8
hocap__subject_9__20231027_124926__seg00,left,317,6.8,34.6,34.9,0.3,18.9,18.8,-0.2
hocap__subject_9__20231027_124926__seg00,right,317,7.4,32.1,64.4,32.4,18.5,44.8,26.2
hocap__subject_9__20231027_124926__seg02,left,280,9.8,37.1,37.4,0.4,19.9,20.0,0.0
hocap__subject_9__20231027_124926__seg02,right,280,9.3,31.2,59.0,27.7,18.2,39.5,21.2
hocap__subject_9__20231027_124926__seg03,left,308,10.9,34.5,35.2,0.7,19.4,19.4,0.0
hocap__subject_9__20231027_124926__seg03,right,308,9.4,33.4,65.8,32.4,19.5,39.6,20.1
hocap__subject_9__20231027_125019__seg00,right,330,11.3,31.8,63.7,31.9,18.3,40.9,22.6
hocap__subject_9__20231027_125019__seg02,right,301,4.4,31.3,64.7,33.4,18.1,46.8,28.7
hocap__subject_9__20231027_125019__seg03,right,377,6.0,30.8,59.9,29.1,18.3,39.4,21.0
