clip_id,hand_side,n_frames,mean_tip_mm,max_pen_mm,mean_pen_mm,jerk
hocap__subject_8__20231024_181413__seg00,right,279,17.515170553780727,16.95137120046199,6.105715810302132,0.37982014408151576
hocap__subject_8__20231024_181413__seg01,left,831,13.612790297247875,34.308684609924896,3.401610847701584,0.9211635887069407
hocap__subject_8__20231024_181413__seg01,right,831,12.430754374185039,19.89744864954887,2.275539808344647,0.9827227009325316
hocap__subject_9__20231027_123403__seg00,right,197,15.142177908787804,16.186910805943608,0.6806910891281812,0.4877269356434165
hocap__subject_9__20231027_123403__seg01,right,219,15.163804787164183,34.57416878332641,16.155658390914997,0.4280033636399343
hocap__subject_9__20231027_123403__seg02,right,219,16.83301902176258,20.380354589174978,6.918726109127766,0.45532476957628953
hocap__subject_9__20231027_123403__seg03,right,227,20.78592443398344,0.0,0.0,0.5431492224944638
hocap__subject_9__20231027_123725__seg00,right,234,14.897274691512308,16.56959140523873,6.647691458499517,0.40987764753752925
hocap__subject_9__20231027_123725__seg01,right,286,12.770317122933747,4.067212934973202,0.13505225018720604,0.3924885441165955
hocap__subject_9__20231027_123725__seg02,right,268,15.175952900484038,23.303814241102817,11.414215611878241,0.43690797965875816
hocap__subject_9__20231027_123725__seg03,right,273,13.34430691353178,25.560021463041075,3.6922991687250915,0.5888395774600153
hocap__subject_9__20231027_123814__seg00,left,316,12.064570609149087,18.842045872289695,5.7423630249618,0.4923537132148468
hocap__subject_9__20231027_123814__seg00,right,316,17.283326441801762,28.826485360864087,8.629563844204547,0.4585968909371732
hocap__subject_9__20231027_123814__seg01,left,345,11.482378007525343,30.144601805272536,7.021568975923093,0.5516929663941573
hocap__subject_9__20231027_123814__seg01,right,345,16.80976764023866,22.76767668423441,5.594366727986295,0.5107953379143052
hocap__subject_9__20231027_123814__seg03,left,302,15.650644137650174,0.0,0.0,0.481288990874785
