clip_id,hand_side,object,n_frames,pct_any_tip_inside,pct_3plus_tips_inside,max_tip_depth_mm,mean_tip_depth_when_inside_mm,longest_tip_penetration_streak,pct_any_lm_inside,max_lm_depth_mm,mean_n_lm_inside
hocap__subject_4__20231026_164812__seg00,right,g21_1,237,81.85654008438819,39.24050632911392,29.74871608747048,13.6176177569654,183,82.27848101265823,29.74871608747048,4.112820512820512
hocap__subject_4__20231026_164812__seg01,right,g21_3,163,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hocap__subject_4__20231026_164812__seg02,right,g21_2,513,14.619883040935672,0.0,9.731609855362487,3.0647382754777177,38,14.619883040935672,9.731609855362487,1.0
hocap__subject_4__20231026_164958__seg00,right,g21_1,382,78.79581151832461,61.25654450261781,27.371671657117194,15.129574588633815,301,78.79581151832461,27.371671657117194,4.820598006644518
hocap__subject_5__20231027_112303__seg00,right,g15_2,155,60.64516129032258,0.0,18.069832938218074,13.276368751342327,94,60.64516129032258,18.069832938218074,1.6914893617021276
hocap__subject_5__20231027_112303__seg01,right,g15_3,392,26.02040816326531,4.336734693877551,19.673769335950755,9.559938101510857,102,26.02040816326531,19.673769335950755,2.4019607843137254
hocap__subject_5__20231027_112303__seg02,right,g15_1,220,53.18181818181819,26.36363636363636,28.94515224780729,12.128425434521658,117,56.36363636363636,28.94515224780729,2.967741935483871
hocap__subject_5__20231027_113202__seg00,left,g18_1,210,47.14285714285714,40.95238095238095,33.91058207178814,18.346851336534716,99,47.14285714285714,35.091033667900945,10.333333333333334
hocap__subject_5__20231027_113202__seg00,right,g18_1,210,44.285714285714285,15.238095238095239,33.415374744602886,11.30607352091847,89,44.761904761904766,33.415374744602886,5.053191489361702
hocap__subject_5__20231027_113202__seg01,left,g18_2,261,28.735632183908045,1.9157088122605364,14.330187330719268,6.536373100805802,67,31.800766283524908,14.330187330719268,2.746987951807229
hocap__subject_5__20231027_113202__seg01,right,g18_2,261,23.371647509578544,2.681992337164751,14.00320193031894,4.922482676143447,49,23.371647509578544,14.00320193031894,2.2131147540983607
